STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,DTWL
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2015-05-01,8.3
Andhra Pradesh,Alluri Sitharama Raju Devipatnam,Chinna,Ramanayapet,17.3235,81.6974,2014-05-01,5.1
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2024-05-10,7.5
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2023-05-01,8.15
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2022-05-01,8.99
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2019-05-01,8.85
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2018-05-01,4.2
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2017-05-01,8.04
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2016-05-01,6.15
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2015-05-01,7.8
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,2014-05-01,6.32
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dumbriguda,18.2885,82.7906,2024-05-10,12.63
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dumbriguda,18.2885,82.7906,2023-05-01,12.28
Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dumbriguda,18.2885,82.7906,2022-05-01,15.73
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Gangavaram,17.4262,81.9133,2024-05-10,6.97
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Gangavaram,17.4262,81.9133,2023-05-01,6.76
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2024-05-10,3.8
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2023-05-01,3.11
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2022-05-01,3.04
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2019-05-01,3.9
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2018-05-01,4.85
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2017-05-01,6.73
Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,2016-05-01,4.12
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Chaprati,17.7643,82.28964,2024-05-10,6.61
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Chaprati,17.7643,82.28964,2023-05-01,6.51
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Dharakonda,17.9996,82.1252,2019-05-01,8.51
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Dharakonda,17.9996,82.1252,2018-05-01,8.36
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Dharakonda,17.9996,82.1252,2017-05-01,8.31
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Dharakonda,17.9996,82.1252,2015-05-01,8.06
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Dharakonda,17.9996,82.1252,2014-05-01,7.73
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2024-05-10,3.48
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2023-05-01,2.32
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2022-05-01,4.39
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2019-05-01,2.55
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2018-05-01,2.3
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2017-05-01,3.22
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2016-05-01,2.35
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2015-05-01,2.4
Andhra Pradesh,Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.863,82.1957,2014-05-01,2.65
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2024-05-10,5.83
